Game result,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
7th (40),5:31,0,-6,2,10,8,26,0,0,3,1,3,12,1,0,yes,7,2,7,0,0,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),3:17,16,-1,7,7,24,0,0,7,2,0,0,13,18,9,no,11,5,0,1,3,3,3,1
2nd (59),5:42,10,-2,3,20,11,0,7,10,4,1,1,12,6,4,no,8,2,0,1,3,4,3,0
3rd (55),5:20,12,-1,11,3,11,0,12,7,2,0,1,6,11,7,no,14,2,0,1,4,6,3,2
4th (50),4:31,0,-5,7,5,11,1,9,22,3,0,0,8,16,0,no,10,3,0,3,0,3,3,3
5th (50),4:33,0,-4,2,2,22,28,0,0,1,0,8,4,4,2,no,12,5,7,0,1,3,1,0
6th (45),4:26,14,-1,2,3,11,9,0,7,2,4,4,14,6,9,no,9,2,3,1,4,1,1,2
7th (36),3:06,5,-3,1,0,12,21,0,0,0,1,6,8,4,8,no,13,3,6,0,3,1,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (52),3:01,7,-1,12,7,19,0,4,4,2,1,2,4,21,5,no,11,4,0,1,2,4,4,0
2nd (49),5:36,16,0,3,3,26,1,0,0,3,0,1,9,9,11,no,14,6,1,0,5,2,2,2
3rd (48),4:51,9,-2,4,5,16,0,9,7,3,0,3,8,0,6,no,10,3,0,1,3,6,2,0
4th (47),3:06,0,-2,6,7,22,0,3,11,3,1,1,15,16,5,no,13,5,0,2,2,3,2,0
5th (43),3:39,5,-2,7,5,10,0,2,16,2,0,1,12,13,9,no,12,2,0,2,4,4,4,0
6th (40),3:24,5,-2,2,15,0,10,2,8,3,2,3,14,11,6,yes,1,0,4,1,3,1,2,2
7th (38),3:08,0,-3,3,3,5,26,4,0,3,2,1,14,6,5,no,9,1,5,0,2,3,2,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (62),4:15,10,-2,9,3,2,25,15,0,3,0,6,9,6,5,no,9,1,3,1,2,8,0,2
2nd (61),3:43,18,0,4,3,24,0,0,12,1,1,3,8,5,7,no,11,5,0,2,3,3,3,0
3rd (57),5:29,18,0,5,3,17,4,2,8,2,1,1,11,15,7,yes,6,3,2,1,4,3,2,0
4th (53),3:14,0,-6,5,10,29,0,0,15,3,0,2,10,11,1,no,12,6,0,2,1,4,2,0
5th (52),6:32,0,-4,10,5,18,0,10,13,3,0,0,10,13,2,no,10,4,0,1,1,5,3,1
6th (48),3:16,9,-3,3,20,11,0,0,8,4,0,0,8,12,6,no,8,2,0,1,3,1,5,2
7th (45),3:32,4,-4,1,3,5,36,0,0,2,3,4,12,6,3,no,14,2,8,0,2,0,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (65),4:41,16,-2,5,10,13,0,8,15,3,0,1,15,2,7,yes,6,3,0,2,3,5,1,1
2nd (59),3:37,5,-3,4,3,24,26,0,0,2,1,4,12,9,3,no,14,5,6,0,1,2,2,1
3rd (58),4:04,5,-2,2,5,24,1,0,23,3,0,1,7,12,3,no,10,4,1,2,2,2,3,1
4th (55),4:33,3,-4,3,3,3,43,4,0,3,1,5,8,8,2,no,9,1,8,0,1,4,1,1
5th (54),5:30,18,0,2,10,11,0,5,8,3,0,0,24,7,12,no,12,2,0,1,6,3,2,1
6th (51),3:43,9,-3,6,3,16,0,4,16,1,0,0,11,20,7,no,11,3,0,2,3,3,4,2
7th (44),4:01,1,-5,12,20,10,0,6,0,4,0,1,6,25,6,no,8,2,0,0,3,4,4,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (62),5:55,13,-1,5,10,13,0,3,19,3,0,2,14,15,6,no,12,3,0,2,4,3,3,0
2nd (55),4:38,13,-3,4,5,21,0,0,15,3,0,0,14,20,8,no,10,4,0,2,3,3,2,1
3rd (54),4:03,0,-6,5,20,30,0,5,0,4,0,3,11,10,0,no,8,7,0,0,0,5,2,0
4th (53),3:43,6,-4,4,3,10,25,9,0,3,0,3,22,15,7,no,9,2,4,0,3,5,1,2
5th (50),3:05,10,-1,8,7,12,0,10,4,2,0,1,4,10,8,no,11,2,0,1,3,3,4,3
6th (44),4:11,5,-3,4,0,10,26,2,0,2,0,3,6,11,6,no,13,2,6,0,3,2,3,0
7th (39),3:49,13,-2,1,3,5,16,3,0,3,2,3,10,0,10,no,14,1,4,1,4,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),3:21,17,0,3,3,20,10,0,11,3,2,1,8,11,3,no,9,4,2,2,2,3,2,0
2nd (60),5:39,0,-6,6,3,4,48,5,0,3,1,3,11,9,0,no,14,1,8,1,0,5,0,2
3rd (55),2:48,11,-3,3,7,17,0,3,17,3,0,1,18,13,7,no,13,4,0,3,3,2,3,0
4th (54),6:14,15,-1,8,20,0,0,4,8,4,2,0,15,21,9,no,8,0,0,1,4,3,3,1
5th (51),4:16,15,0,2,7,19,0,0,8,2,2,1,14,7,9,no,11,5,0,1,3,0,5,0
6th (49),4:22,1,-4,8,5,5,26,8,0,2,1,5,10,11,1,no,12,1,7,0,1,4,1,1
7th (39),3:10,0,-5,3,5,23,0,0,13,3,0,2,8,12,8,no,10,4,0,1,3,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (61),4:43,0,-6,2,3,0,55,0,7,3,1,5,16,6,0,no,14,0,10,1,0,3,1,2
2nd (58),3:27,15,0,8,7,16,0,2,10,2,0,1,10,13,9,no,11,3,0,1,4,3,5,0
3rd (56),3:15,9,-1,8,10,17,0,0,13,3,0,1,11,16,6,no,12,4,0,2,3,2,3,1
4th (53),4:39,8,-3,1,3,0,31,8,5,1,1,6,14,0,5,no,9,0,7,1,2,4,0,2
5th (48),4:14,14,0,4,7,19,4,0,0,3,0,1,12,15,9,no,13,3,1,1,4,4,1,1
6th (47),2:56,9,-2,5,5,21,0,4,5,2,0,0,7,17,8,no,10,4,0,1,4,2,3,2
7th (37),5:38,0,-5,7,3,27,0,5,0,1,3,2,9,12,3,no,8,6,0,0,1,4,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (70),3:25,17,0,7,7,21,0,0,18,3,2,1,12,23,7,no,13,4,0,2,4,1,2,0
2nd (65),4:05,18,0,8,20,5,0,14,0,4,0,1,10,0,4,no,8,1,0,0,2,6,4,1
3rd (59),3:29,0,-6,8,10,37,0,3,7,3,0,3,12,16,0,no,12,8,0,1,0,4,2,0
4th (55),4:38,18,0,10,7,9,1,2,8,2,0,0,2,12,9,no,11,2,1,1,3,4,4,1
5th (50),5:08,1,-3,3,3,5,26,6,9,3,1,1,13,8,2,no,14,1,5,2,2,4,2,1
6th (45),3:50,0,-6,4,3,7,18,6,13,3,2,1,6,6,0,no,9,2,4,2,0,1,3,3
7th (36),3:54,5,-4,1,10,22,0,2,0,3,2,2,12,2,8,yes,3,4,0,0,3,4,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),3:39,16,-1,7,7,23,0,8,0,2,1,1,11,9,7,no,11,5,0,0,2,5,3,0
2nd (56),5:11,11,-2,3,3,23,13,0,5,3,2,1,16,13,4,no,14,4,4,1,2,1,3,1
3rd (54),3:47,1,-5,5,20,10,0,8,15,4,1,2,10,11,1,no,8,3,0,2,1,3,4,0
4th (53),3:03,9,-2,10,7,5,21,3,0,3,0,2,6,19,4,no,13,1,5,1,3,2,3,0
5th (50),2:58,0,-4,7,5,7,31,0,4,2,1,2,15,18,0,no,12,1,7,1,0,3,1,2
6th (48),4:13,12,-1,0,10,3,10,6,8,3,0,0,13,2,6,yes,2,1,2,1,4,3,1,3
7th (43),4:15,11,-3,0,5,14,10,0,6,3,1,3,7,6,9,no,10,2,3,0,4,2,3,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (75),5:00,18,0,3,5,15,0,4,30,3,0,2,8,10,6,no,10,3,0,2,3,4,3,0
2nd (65),4:47,11,-1,10,3,20,0,6,16,1,1,1,8,30,4,no,8,4,0,2,2,2,6,0
3rd (57),3:21,0,-5,4,10,7,18,3,20,3,0,2,22,4,0,no,12,3,4,3,0,3,0,2
4th (53),5:12,5,-4,1,3,8,40,0,0,3,1,5,20,12,5,no,14,2,9,0,2,1,1,2
5th (52),2:46,18,0,4,7,16,0,7,0,2,0,1,8,7,12,no,11,3,0,0,5,1,7,0
6th (49),3:49,3,-5,1,3,0,38,2,7,2,0,3,10,2,2,yes,2,0,7,1,1,3,1,3
7th (41),5:05,6,-4,4,7,28,0,0,0,3,0,2,3,14,10,no,13,5,0,0,4,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (67),4:35,10,-2,5,20,15,0,9,10,4,1,2,16,7,3,no,8,3,0,1,2,5,2,0
2nd (52),4:08,11,-2,12,10,20,1,0,0,3,0,0,6,21,7,no,12,4,1,0,3,2,4,1
3rd (52),5:08,0,-6,5,7,0,43,3,0,3,2,6,9,1,2,no,13,0,9,0,1,3,0,0
4th (51),8:13,9,-3,6,3,6,10,3,17,3,0,0,12,12,6,no,9,1,1,3,3,4,4,1
5th (48),3:44,8,-2,2,0,23,0,2,15,0,1,5,10,8,4,no,10,6,0,2,3,5,0,1
6th (47),4:46,10,-3,4,7,29,0,0,0,2,2,1,12,10,8,no,11,6,0,0,2,0,3,3
7th (44),3:59,14,-2,5,3,14,0,4,6,2,1,1,2,8,9,no,14,3,0,1,4,4,4,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (65),3:01,10,0,6,7,19,0,5,18,2,0,2,16,12,7,no,11,4,0,2,2,5,1,2
2nd (63),2:31,18,0,2,5,19,0,0,19,3,0,1,10,2,6,no,10,4,0,2,3,5,1,0
3rd (60),2:32,8,-3,1,10,15,29,0,0,3,0,3,16,6,2,no,12,2,6,1,1,1,3,1
4th (54),2:52,15,0,5,7,12,0,0,15,3,0,0,4,20,10,no,13,3,0,2,5,1,4,0
5th (43),2:35,0,-5,3,20,23,0,2,0,4,1,3,2,7,0,no,8,6,0,0,0,2,4,1
6th (42),4:31,0,-6,9,3,12,16,8,0,3,1,3,4,16,3,no,14,2,5,0,1,4,4,1
7th (39),3:32,0,-3,1,3,6,29,3,0,3,1,5,20,9,7,no,9,1,6,0,3,2,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (57),4:28,1,-4,2,3,0,55,0,0,3,1,3,12,4,4,no,14,0,10,0,2,1,3,1
2nd (56),6:41,12,-1,1,2,10,25,0,7,1,1,4,18,0,5,no,12,2,4,2,3,3,1,1
3rd (53),7:26,13,-3,7,3,20,4,3,6,3,1,2,10,18,10,no,9,4,1,1,4,2,2,3
4th (53),7:34,5,-3,3,10,31,0,0,7,3,0,1,10,11,6,yes,4,6,0,1,2,3,2,1
5th (52),2:45,13,-3,7,3,12,0,10,10,1,0,3,3,10,8,no,8,3,0,1,3,6,4,0
6th (50),3:27,16,0,5,5,7,0,11,6,2,0,1,2,6,5,no,10,2,0,1,3,5,4,1
7th (48),6:16,0,-4,5,7,21,16,3,0,3,0,3,2,8,1,no,13,4,5,0,1,1,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (71),2:37,9,-3,8,20,12,0,9,16,4,0,2,11,10,1,no,8,3,0,2,1,5,2,1
2nd (57),3:58,0,-5,3,3,20,36,0,0,3,2,5,10,8,0,no,14,4,8,0,0,1,2,1
3rd (54),3:51,16,-1,4,10,25,0,0,0,3,1,2,10,18,10,yes,4,6,0,0,3,0,4,1
4th (53),4:12,8,-4,1,5,15,16,3,9,3,0,1,11,6,7,no,10,3,3,1,3,2,2,1
5th (52),3:13,2,-4,6,10,13,10,0,15,3,0,1,14,12,3,no,12,2,3,2,2,2,3,1
6th (49),2:31,17,-1,7,7,10,0,3,6,3,1,0,2,11,11,no,13,2,0,1,5,3,3,0
7th (48),2:59,10,-2,7,3,11,0,6,13,2,3,0,16,9,4,no,9,2,0,2,3,3,2,3
,,,,,,,,,,,,,,,,,,,,,,,,
1st (80),3:22,0,-3,0,3,8,62,0,10,3,1,7,9,7,0,no,14,1,11,1,0,1,2,1
2nd (56),3:10,17,-1,3,3,20,1,0,13,1,0,1,10,17,9,no,11,4,1,2,4,1,3,2
3rd (53),2:49,9,-1,6,10,14,0,2,13,3,0,0,10,14,4,yes,3,2,0,2,3,5,2,1
4th (52),3:16,10,-2,6,7,27,1,3,0,3,0,1,4,12,6,no,13,6,1,0,2,2,3,1
5th (51),2:45,8,-3,7,3,17,4,9,6,3,1,2,12,11,5,no,9,4,1,1,2,6,2,0
6th (47),4:30,6,-2,4,20,3,0,9,7,4,0,2,10,10,7,no,8,1,0,1,4,5,2,1
7th (45),2:47,4,-4,0,2,12,31,0,0,1,0,0,18,2,1,no,12,2,6,1,1,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (73),5:38,13,-2,1,3,10,48,0,0,2,2,7,14,9,7,no,14,2,9,0,3,0,1,1
2nd (62),5:35,16,-2,3,10,9,10,0,16,3,0,0,10,17,8,yes,6,2,2,3,3,0,3,2
3rd (61),4:19,18,0,1,7,25,0,1,9,2,0,4,12,4,9,no,11,6,0,1,4,4,1,0
4th (56),3:39,3,-4,6,10,29,0,3,9,3,0,1,13,12,5,no,12,6,0,1,2,2,4,0
5th (55),3:34,7,-3,2,10,21,0,3,15,3,0,1,19,8,7,yes,3,4,0,2,3,4,2,0
6th (50),5:35,1,-5,8,3,0,26,9,8,3,2,4,4,12,1,no,9,0,5,1,1,5,1,2
7th (44),3:04,4,-4,8,8,21,1,6,0,2,0,2,6,16,5,no,8,4,1,0,3,4,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (80),3:15,15,-1,0,3,4,48,0,11,3,0,5,11,4,4,no,9,1,8,1,2,4,1,0
2nd (59),3:02,0,-6,5,20,24,0,4,12,4,0,1,6,12,0,no,8,5,0,1,0,3,3,2
3rd (55),6:14,3,-5,2,3,7,38,0,7,3,2,3,6,6,2,no,14,1,7,2,1,0,3,2
4th (51),4:33,15,-1,5,0,29,0,3,0,1,0,4,6,14,11,no,13,6,0,0,5,3,3,0
5th (49),6:25,3,-4,4,5,19,0,0,22,2,0,1,10,14,9,no,12,4,0,3,4,2,3,0
6th (44),2:39,9,-3,2,5,13,10,2,6,2,1,6,8,4,6,no,10,4,4,1,3,1,1,1
7th (38),5:06,15,0,3,3,4,0,8,5,1,0,2,8,1,13,no,11,1,0,1,6,6,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (61),2:36,14,-1,4,20,20,0,4,0,4,0,0,12,10,6,no,8,5,0,0,3,3,3,0
2nd (53),4:23,0,-6,9,10,26,9,5,0,3,0,2,9,12,0,no,12,5,3,0,0,5,2,0
3rd (50),2:49,0,-6,4,3,4,31,6,8,2,1,4,8,10,0,yes,2,1,6,1,0,1,3,3
4th (48),3:15,14,0,1,5,15,0,0,13,3,0,0,4,6,11,no,10,3,0,1,5,2,4,0
5th (46),3:14,15,0,8,7,12,0,4,0,2,2,0,6,8,9,no,11,2,0,0,4,4,4,0
6th (46),4:03,9,-1,3,3,6,16,3,7,3,2,4,8,3,8,no,14,2,4,1,4,2,2,1
7th (45),2:27,3,-3,6,10,8,4,10,7,3,0,4,8,6,5,yes,6,2,2,1,3,6,1,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (58),2:32,10,-1,3,5,17,0,3,21,3,0,2,6,10,4,no,10,4,0,2,3,2,2,2
2nd (57),3:21,0,-3,1,0,12,47,0,0,0,0,7,12,5,2,no,12,3,8,1,1,2,2,1
3rd (55),3:40,17,0,8,7,20,0,3,0,3,0,1,4,14,11,no,13,4,0,0,5,3,3,0
4th (55),3:12,0,-3,5,3,8,13,6,23,1,0,1,2,13,2,yes,2,1,4,3,1,1,4,3
5th (55),4:16,0,-6,5,20,16,0,12,8,4,0,3,13,6,0,no,8,4,0,1,0,6,2,1
6th (50),3:19,9,-2,5,3,20,10,5,0,2,1,3,11,6,6,no,14,4,3,0,3,5,2,0
7th (49),3:56,14,-1,2,7,21,0,0,6,2,0,0,12,6,11,no,11,4,0,1,4,3,4,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (71),2:51,13,0,3,5,20,0,0,30,2,0,2,14,17,5,no,10,6,0,3,2,1,3,1
2nd (61),3:16,0,-5,1,2,8,55,0,0,1,2,5,17,14,0,no,14,1,9,1,0,1,3,1
3rd (54),2:28,12,-1,12,7,17,0,7,0,3,1,1,0,21,8,no,13,3,0,0,4,4,3,0
4th (51),3:15,0,-4,0,3,16,34,2,0,2,1,8,8,0,2,yes,2,4,6,0,1,1,1,2
5th (50),2:54,10,-2,4,20,16,0,2,0,4,0,2,12,16,10,no,8,3,0,0,5,4,2,0
6th (50),3:36,17,-1,4,3,13,1,0,13,1,0,3,6,14,12,no,11,3,1,2,5,2,2,2
7th (37),3:44,5,-4,1,10,22,0,3,0,3,0,1,27,2,9,no,12,4,0,0,4,6,1,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (54),3:27,3,-3,1,3,24,26,0,0,2,3,5,18,5,4,no,14,4,6,0,2,1,1,1
2nd (50),2:56,17,0,3,10,17,0,3,0,3,0,1,8,8,10,yes,4,4,0,0,4,4,3,0
3rd (45),2:16,3,-3,9,15,3,1,8,9,3,0,3,2,16,5,yes,1,1,1,1,2,5,3,2
4th (44),2:47,5,-3,5,7,21,0,3,6,3,1,0,8,12,7,no,13,4,0,1,3,2,3,1
5th (44),3:48,14,-2,4,3,8,4,2,11,3,1,1,9,12,6,no,9,3,1,2,3,4,2,1
6th (37),4:07,2,-2,5,10,14,2,0,6,3,0,0,10,8,5,no,12,2,2,1,3,2,4,1
7th (35),3:40,6,-3,1,10,20,1,0,0,3,2,2,8,2,7,yes,3,5,1,0,3,3,1,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (63),3:46,0,-5,4,3,9,48,4,0,3,1,3,3,7,0,no,14,2,8,1,0,3,1,2
2nd (56),3:39,8,-2,12,7,15,0,3,13,3,2,0,2,14,5,no,13,3,0,2,3,2,3,0
3rd (50),3:52,9,-2,2,3,18,0,6,14,2,3,1,10,0,1,no,9,4,0,2,1,4,2,2
4th (49),2:50,11,-2,4,5,22,0,2,7,2,1,2,10,8,7,no,10,5,0,1,3,3,3,0
5th (47),4:47,15,0,5,7,10,0,0,10,2,1,1,12,11,12,no,11,2,0,2,5,1,4,1
6th (44),2:32,7,-3,2,20,14,0,4,0,4,0,1,7,9,9,no,8,3,0,0,4,4,3,0
7th (41),4:42,8,-4,7,10,11,1,8,0,3,0,2,15,10,10,no,12,2,1,0,4,5,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),2:33,12,0,9,7,14,0,10,7,3,0,1,6,10,5,no,13,3,0,1,3,6,1,1
2nd (59),4:23,18,0,5,5,15,0,3,13,3,0,1,14,17,9,no,10,3,0,1,5,3,2,1
3rd (57),3:59,4,-3,8,3,8,34,3,0,3,1,3,10,16,1,no,14,1,6,1,1,4,4,0
4th (54),2:43,10,0,5,7,32,0,0,0,2,1,1,10,6,6,no,11,7,0,0,2,1,3,2
5th (54),2:21,0,-5,3,8,14,9,0,25,2,0,4,12,20,2,no,8,3,3,3,1,0,4,2
6th (43),4:24,5,-4,1,3,0,31,0,7,3,1,3,14,10,6,no,9,0,6,1,2,4,3,0
7th (40),3:58,0,-5,2,0,24,1,9,9,0,1,2,13,0,5,no,12,5,1,1,2,5,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (61),5:32,9,-2,10,7,25,0,6,6,3,0,2,4,16,6,no,13,6,0,1,3,3,2,0
2nd (57),3:22,0,-6,2,10,3,48,0,0,3,1,5,18,2,3,no,12,1,9,0,1,1,1,1
3rd (55),4:19,16,0,4,7,6,0,4,18,2,0,1,10,12,11,no,11,1,0,3,4,3,4,1
4th (52),4:20,17,-1,3,3,19,1,3,7,1,1,3,10,13,8,no,9,4,1,1,4,3,2,1
5th (51),5:05,2,-3,3,5,31,0,0,13,3,1,1,15,20,2,no,10,6,0,1,2,1,3,1
6th (51),6:31,5,-4,1,3,12,34,0,0,3,0,3,14,12,5,no,14,3,6,1,2,3,3,0
7th (42),4:21,9,-2,8,20,0,0,7,0,4,1,0,10,6,9,no,8,0,0,0,4,5,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (61),3:01,16,0,4,7,20,0,6,8,2,1,2,12,5,8,no,11,4,0,1,3,4,2,1
2nd (59),5:04,16,0,4,2,24,0,0,13,1,0,2,15,21,11,no,12,5,0,2,5,2,3,0
3rd (55),3:37,8,-4,6,7,0,38,0,0,3,0,6,6,10,5,no,13,0,8,0,2,2,2,1
4th (54),3:16,9,-1,4,15,18,0,3,6,3,0,2,8,8,6,yes,1,5,0,1,3,2,4,0
5th (48),4:12,0,-4,1,3,13,16,0,19,3,1,2,14,12,3,no,9,2,3,3,2,2,2,2
6th (45),4:59,1,-4,4,3,16,18,7,0,3,0,2,7,10,1,no,14,4,4,1,1,4,2,2
7th (40),3:47,5,-2,1,5,15,16,0,0,2,0,3,13,9,9,no,10,3,5,0,4,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (63),3:15,0,-4,8,3,14,31,0,11,2,1,0,2,23,0,no,14,3,6,2,0,0,4,2
2nd (56),3:24,18,0,3,7,16,0,3,9,2,2,1,12,6,9,no,11,4,0,1,4,3,2,0
3rd (54),2:37,8,-3,9,3,6,10,14,7,3,0,4,9,6,5,no,9,1,2,1,2,9,2,0
4th (54),2:46,8,-3,3,10,24,0,0,12,3,1,0,20,6,5,no,12,4,0,2,2,2,4,0
5th (48),2:51,9,-3,5,10,12,9,0,6,3,0,4,6,13,6,yes,6,2,3,1,3,1,3,2
6th (44),3:06,0,-6,9,20,13,0,8,0,4,2,1,5,14,1,no,8,3,0,0,1,3,3,2
7th (39),3:06,18,0,3,10,3,0,5,0,3,3,1,15,1,6,yes,3,1,0,0,4,6,0,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (68),3:01,18,0,7,7,5,0,6,25,3,0,0,4,10,9,no,13,1,0,3,5,3,3,0
2nd (59),2:25,3,-4,1,3,3,45,8,0,3,0,6,11,5,3,no,9,1,6,1,2,4,1,2
3rd (55),2:33,8,-3,10,7,19,0,5,9,2,0,2,4,18,8,no,11,4,0,1,2,4,3,2
4th (54),3:01,16,0,4,15,16,0,3,0,3,0,4,6,4,10,yes,1,5,0,0,4,3,3,0
5th (52),3:16,8,-3,1,3,7,36,0,0,3,1,6,8,1,5,no,14,2,8,0,2,3,2,0
6th (47),3:13,1,-5,3,5,23,0,6,14,3,0,0,4,8,1,no,10,4,0,1,1,1,5,3
7th (42),2:55,6,-3,7,10,22,0,0,0,3,0,2,15,6,7,no,12,4,0,0,3,6,2,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),4:05,4,-2,7,20,16,0,8,6,4,0,1,18,27,3,no,8,4,0,1,2,2,3,2
2nd (59),3:09,16,0,7,7,18,0,5,6,2,0,5,5,12,8,no,11,4,0,1,3,5,2,1
3rd (57),4:10,0,-5,8,7,7,10,3,27,3,1,0,12,16,3,no,13,2,3,3,1,4,1,0
4th (50),5:07,8,-1,6,10,10,10,0,7,3,0,2,15,14,8,no,12,2,3,1,4,2,2,1
5th (50),2:49,13,0,3,5,14,0,3,12,3,1,2,12,2,11,no,10,3,0,1,5,4,1,0
6th (42),5:59,9,-2,4,3,22,0,6,0,2,1,0,20,3,7,no,9,4,0,0,3,4,2,3
7th (41),4:36,0,-4,5,3,14,18,5,0,2,1,4,2,10,1,no,14,3,4,1,1,3,5,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (65),2:22,18,0,8,7,4,0,4,24,3,0,1,2,23,12,no,13,1,0,3,6,1,4,0
2nd (63),2:58,0,-5,1,3,0,64,0,0,3,0,5,24,6,0,no,9,0,9,1,0,3,1,2
3rd (58),3:26,11,-1,0,10,20,18,0,0,3,0,4,20,6,5,no,12,4,5,0,2,0,2,2
4th (53),2:33,5,-3,10,20,17,0,4,0,4,0,1,0,24,6,no,8,4,0,0,2,4,4,0
5th (49),3:40,8,-3,7,3,27,0,7,0,2,0,1,8,16,7,no,14,5,0,0,3,5,3,2
6th (49),2:22,12,-1,1,5,16,0,6,10,3,0,0,19,6,8,no,10,4,0,1,4,3,2,1
7th (41),3:14,5,-4,5,7,11,0,7,10,2,1,3,11,3,9,no,11,2,0,1,3,7,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),3:25,13,-1,4,7,24,0,8,5,2,0,3,11,4,6,no,11,4,0,1,3,6,2,0
2nd (60),3:13,0,-6,4,10,16,9,3,24,3,0,2,8,6,0,no,12,3,3,3,0,1,3,2
3rd (56),3:41,17,0,1,8,12,9,0,9,2,0,5,7,9,8,yes,1,2,3,1,4,3,3,0
4th (55),4:25,4,-3,11,3,10,0,10,20,3,0,2,7,20,3,no,14,3,0,3,2,7,3,0
5th (44),3:15,0,-4,5,7,11,25,0,0,3,0,5,4,10,5,no,13,2,6,0,2,2,2,1
6th (42),3:12,14,-2,4,10,6,10,0,0,3,1,1,10,12,9,yes,3,1,2,1,4,2,3,1
7th (36),3:48,10,-2,1,3,19,1,4,0,3,3,1,18,4,8,no,9,5,0,0,3,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (62),4:44,17,0,5,5,16,0,6,13,3,0,2,8,13,7,no,10,3,0,1,4,3,3,1
2nd (51),2:57,13,0,9,7,9,0,7,6,3,0,2,4,14,10,no,13,2,0,1,5,5,2,0
3rd (51),2:49,8,-3,7,7,20,0,5,7,2,0,3,12,18,10,no,11,4,0,1,3,3,5,0
4th (48),5:43,3,-3,0,10,10,21,0,7,3,1,5,6,3,2,yes,7,2,6,1,1,2,2,1
5th (41),3:09,6,-4,7,3,25,0,0,4,1,2,0,11,12,4,no,8,4,0,1,2,3,3,2
6th (41),3:42,5,-3,2,10,5,10,0,12,3,1,1,11,2,5,no,12,2,4,2,2,1,3,0
7th (40),3:30,1,-4,4,3,0,36,0,0,1,0,2,16,6,2,yes,2,0,7,1,2,4,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (61),3:29,3,-5,1,3,14,38,0,7,2,2,6,6,2,2,no,14,2,8,1,1,1,1,2
2nd (58),2:52,17,0,5,7,22,0,7,0,3,0,0,2,4,8,no,13,4,0,0,4,3,4,0
3rd (53),4:30,8,-1,6,10,15,0,7,8,3,0,1,15,10,7,no,12,3,0,1,4,4,3,0
4th (51),2:45,16,-2,5,7,11,0,0,14,2,0,1,12,13,12,no,11,3,0,2,4,3,3,1
5th (47),4:13,6,-3,5,13,10,0,0,16,3,0,0,6,19,7,no,8,2,0,2,3,2,4,2
6th (47),3:57,1,-4,3,3,26,13,5,0,3,1,4,8,2,1,no,9,6,3,0,1,5,1,0
7th (38),4:30,6,-4,6,5,9,1,3,12,3,1,0,13,12,9,no,10,2,1,1,4,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),2:59,3,-4,1,0,0,55,0,5,1,1,5,9,2,2,no,13,0,9,2,1,2,0,2
2nd (59),4:39,8,-3,12,10,16,0,3,13,3,1,0,8,15,5,no,12,3,0,2,2,4,3,0
3rd (52),3:22,5,-3,4,20,24,0,2,0,4,0,1,7,17,3,no,8,4,0,0,1,4,4,1
4th (49),4:56,10,-1,1,3,22,10,4,0,3,0,3,12,6,7,no,14,5,3,0,4,4,1,1
5th (47),3:34,13,-1,2,5,13,0,3,12,3,2,0,19,6,8,no,10,2,0,1,4,3,2,1
