Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,3:20,17,-1,7,10,11,0,3,12,3,1,0,20,17,8,no,12,2,0,2,4,2,4,0
2,57,5:05,10,-2,8,3,21,0,8,9,2,0,3,9,16,4,no,14,5,0,1,3,5,3,1
3,55,5:25,0,-6,1,0,12,48,0,0,1,2,5,10,6,0,no,13,2,9,0,0,1,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,3:38,10,-2,1,5,32,0,0,10,3,0,1,9,10,5,no,10,6,0,1,3,2,2,1
2,52,5:17,6,-4,0,7,0,43,0,0,3,0,4,6,6,4,no,13,0,8,1,2,1,3,0
3,44,5:10,11,-3,2,3,12,10,2,7,3,2,0,8,7,7,no,9,2,2,1,3,2,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,
1,60,4:03,18,0,6,3,12,0,4,17,1,2,1,14,18,8,no,11,3,0,2,4,2,3,1
2,54,4:06,8,-4,1,3,21,18,0,7,3,0,3,17,9,4,no,14,4,5,1,2,2,4,0
3,53,3:32,1,-5,3,3,13,38,0,0,3,1,4,8,12,1,no,9,2,6,1,1,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,61,3:08,8,0,8,10,26,0,3,6,3,0,3,4,20,6,yes,3,5,0,1,3,3,2,1
2,52,3:37,0,-4,1,3,12,34,0,6,3,0,7,4,6,4,no,9,3,6,1,2,2,2,1
3,45,2:40,8,0,1,10,0,16,2,8,3,2,3,18,0,6,no,12,0,3,2,3,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,2:52,12,-1,0,0,16,31,0,0,2,0,4,4,2,5,no,13,3,7,0,3,1,2,0
2,52,5:00,14,-1,1,10,14,0,0,14,3,2,1,5,1,6,yes,3,2,0,2,3,1,3,2
3,47,3:22,0,-6,10,3,16,0,13,11,3,0,2,3,9,0,no,14,4,0,2,0,5,5,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,5:48,3,-3,1,3,0,48,0,6,3,0,4,4,6,4,no,14,0,9,1,2,2,4,0
2,54,3:27,11,-3,6,7,16,0,2,15,2,0,2,9,5,9,no,11,4,0,2,3,4,2,1
3,50,3:58,5,-1,1,5,26,0,0,14,3,0,2,5,7,4,no,10,5,0,1,3,0,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,
1,47,5:31,10,-1,5,2,28,0,3,0,1,3,2,10,6,4,no,14,6,0,0,3,2,3,1
2,44,3:58,1,-5,6,7,10,10,3,12,3,0,2,1,10,1,no,13,2,2,3,1,3,4,0
3,42,3:46,13,-2,1,5,13,0,3,9,3,1,3,7,2,10,no,10,3,0,1,4,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,2:37,16,0,3,10,10,13,0,10,3,0,3,14,12,8,no,12,2,4,1,4,1,3,0
2,48,4:50,8,-2,10,20,8,0,4,0,4,2,1,4,18,6,no,8,1,0,0,3,3,3,2
3,45,7:22,0,-4,2,3,23,16,5,0,3,2,4,18,6,1,no,9,5,3,0,1,4,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,71,2:15,0,-6,4,2,0,55,0,16,1,1,6,8,12,0,no,12,0,10,2,0,0,2,2
2,64,2:43,17,-1,4,7,34,0,3,0,2,1,4,10,9,8,no,11,7,0,0,3,3,2,0
3,52,4:45,10,-2,0,3,14,10,4,13,3,0,3,9,6,4,no,9,3,2,2,3,3,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,4:37,3,-3,3,0,0,55,0,0,2,3,6,12,10,4,no,13,0,10,0,2,0,0,1
2,53,3:29,15,0,4,7,24,0,0,3,2,1,1,10,12,7,no,11,4,0,1,3,0,6,1
3,45,4:39,1,-4,3,5,18,0,0,22,3,0,1,6,6,4,no,10,4,0,3,2,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,67,2:59,17,0,3,7,16,0,0,24,3,0,0,4,14,8,no,13,3,0,3,4,0,4,1
2,60,3:04,9,-2,1,3,18,31,0,0,3,2,4,13,8,3,no,14,3,7,0,2,2,2,0
3,52,2:23,0,-6,7,20,19,0,12,0,4,0,3,11,6,0,no,8,5,0,0,0,7,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,71,2:24,0,-6,3,3,0,64,0,7,2,2,5,8,11,0,no,14,0,10,2,0,1,2,1
2,60,3:15,9,-3,12,10,25,0,7,0,3,1,2,10,18,3,no,12,5,0,0,2,2,4,1
3,59,2:49,18,0,3,3,21,1,5,8,3,2,2,15,4,4,no,9,4,0,1,3,5,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,64,4:55,14,-1,5,5,24,1,0,16,3,0,2,4,11,6,no,10,4,1,1,3,2,1,3
2,62,6:11,12,-1,1,10,0,25,2,13,3,0,2,18,6,5,no,12,0,4,3,3,2,2,1
3,55,4:17,0,-6,6,20,19,0,8,8,4,0,1,11,16,0,no,8,4,0,1,0,4,4,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,67,3:57,0,-6,1,3,8,48,0,13,3,1,4,14,12,0,no,9,1,8,2,0,0,2,3
2,59,4:10,17,-1,3,20,10,0,4,6,4,0,2,7,6,8,no,8,2,0,1,4,4,3,0
3,51,4:45,10,-2,6,3,23,0,4,7,3,1,1,8,11,4,no,14,5,0,1,3,2,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,67,2:43,0,-6,2,2,7,62,0,0,1,0,6,6,5,2,no,14,1,11,0,1,2,1,2
2,62,4:29,18,0,4,7,13,0,6,14,3,1,0,10,6,7,no,13,3,0,2,4,2,3,0
3,56,4:13,9,-3,2,10,26,0,0,12,3,0,1,5,10,3,yes,3,5,0,2,2,2,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,4:36,18,0,5,7,8,1,4,16,2,0,0,11,15,9,no,11,2,1,2,4,2,4,1
2,56,4:55,9,-3,7,15,20,0,8,0,3,0,2,5,8,6,yes,1,5,0,0,3,5,2,0
3,56,2:56,0,-6,0,3,4,55,0,0,2,2,5,12,5,3,no,14,1,10,0,1,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,4:00,8,-4,5,7,22,0,0,13,3,0,0,2,17,5,no,13,4,0,2,2,1,5,1
2,50,4:46,1,-5,4,10,9,16,3,12,3,0,5,9,6,1,no,12,2,4,2,1,3,3,0
3,50,2:57,18,0,0,3,12,17,0,0,2,4,3,14,2,7,no,14,2,5,0,4,2,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,64,2:48,17,-1,0,7,28,0,0,13,3,0,1,2,3,5,no,13,6,0,2,3,0,4,0
2,56,3:35,5,-5,4,3,2,38,3,6,3,0,3,2,7,3,no,9,1,6,2,1,1,3,3
3,55,4:34,5,-3,2,20,18,0,6,7,4,0,3,8,2,2,no,8,3,0,1,2,6,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,5:04,9,-2,1,10,6,25,0,8,3,0,4,7,8,3,yes,3,1,6,1,2,3,0,2
2,55,6:03,0,-6,5,10,30,16,0,0,3,2,6,10,6,0,no,12,7,3,1,0,0,2,0
