Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
5,48,3:54,5,-4,4,10,17,16,0,0,3,0,5,9,10,7,no,12,3,4,0,3,2,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,5:09,16,-1,10,7,11,0,5,15,2,0,0,1,18,7,no,11,2,0,2,3,3,5,1
2,58,3:15,9,-2,3,10,25,0,3,10,3,0,1,16,2,6,no,12,5,0,1,3,3,2,1
3,55,2:15,0,-6,2,3,6,50,0,0,1,0,8,6,6,3,no,9,1,10,0,1,2,2,1
4,54,4:14,17,-1,1,3,16,18,0,0,3,1,3,14,12,6,no,14,4,5,0,3,2,3,0
5,47,3:36,2,-4,2,20,14,0,0,13,4,0,1,12,11,2,no,8,3,0,2,2,1,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,4:44,4,-3,5,20,7,0,8,17,4,2,0,24,20,2,no,8,2,0,2,2,2,4,0
2,58,4:06,13,-2,3,10,14,1,0,19,3,0,1,3,13,8,yes,2,3,0,2,3,2,5,0
3,58,6:58,4,-4,1,3,6,48,0,0,2,1,5,7,6,3,no,14,1,9,0,2,1,2,2
4,57,3:32,17,0,9,7,10,0,10,4,2,1,1,16,18,6,no,11,2,0,1,3,4,2,3
5,55,5:40,5,-4,4,10,27,4,0,9,3,0,2,16,9,3,no,12,5,2,1,1,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,69,3:29,13,-1,7,20,11,0,9,10,4,0,0,10,14,7,no,8,2,0,1,4,2,5,0
2,69,4:57,5,-2,3,3,8,36,6,10,3,1,2,14,6,4,no,9,1,4,2,2,2,2,3
3,52,3:09,3,-4,5,3,17,18,4,6,3,0,2,8,12,3,no,14,3,5,1,2,2,4,1
4,52,2:35,13,-3,2,10,26,0,0,4,3,0,3,14,7,8,no,12,6,0,1,3,2,3,0
5,40,3:55,6,-2,6,7,0,13,3,7,3,0,5,3,10,7,no,13,0,5,1,3,4,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,3:35,11,-1,7,7,19,0,3,16,3,1,0,10,14,5,no,13,4,0,2,3,2,3,0
2,55,5:13,18,0,5,7,22,0,0,3,2,0,1,14,13,11,no,11,4,0,1,4,1,4,2
3,51,5:37,8,-4,2,3,7,25,4,6,3,0,3,9,12,5,no,14,1,6,1,2,3,4,1
4,48,4:11,1,-4,1,5,10,26,3,6,3,0,5,12,2,4,no,10,2,6,0,2,3,0,2
5,39,3:04,5,-4,5,3,8,4,4,14,3,1,0,14,18,6,no,9,2,0,3,3,4,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,69,4:42,18,0,5,10,21,0,3,12,3,0,0,9,9,5,no,12,4,0,1,3,3,3,1
2,56,3:13,0,-6,3,3,5,48,3,0,3,1,3,23,8,0,no,9,1,8,0,0,4,1,2
3,50,3:43,13,-1,6,7,17,1,1,6,3,0,0,0,19,7,no,13,3,1,1,4,1,4,1
4,50,3:49,14,-2,1,5,4,0,6,22,3,1,1,14,0,9,no,10,1,0,2,4,3,1,3
5,48,2:50,0,-6,7,13,19,0,8,7,3,0,2,2,12,2,no,8,4,0,1,1,4,5,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,6:08,16,-1,7,3,19,1,7,6,3,1,2,10,12,9,no,9,4,0,1,4,4,3,1
2,54,3:11,4,-3,6,7,12,0,6,22,2,0,2,10,12,4,no,11,4,0,3,2,3,4,0
3,52,4:21,3,-3,1,0,15,34,2,0,2,2,3,10,5,2,no,13,2,6,1,1,1,2,1
4,50,4:22,10,-3,6,10,18,9,0,0,3,0,4,11,10,6,no,12,4,3,0,2,2,4,0
5,48,4:15,7,-2,2,3,0,38,0,0,3,1,1,12,14,6,no,14,0,8,0,4,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,2:54,0,-6,6,3,2,55,2,0,2,1,5,2,11,0,no,14,1,10,0,0,1,4,1
2,61,5:15,17,-1,4,5,5,0,7,24,3,0,1,10,2,6,no,10,2,0,2,3,4,3,1
3,56,3:14,10,0,1,7,22,0,2,14,2,0,0,15,4,5,no,11,4,0,2,2,4,2,2
