Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods,Match ID/Avg lvl
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (66),2:35,16,0,6,7,26,0,3,8,3,0,1,4,11,9,no,13,6,0,1,4,2,2,0,#61882522
2nd (63),3:15,0,-4,1,2,16,48,0,0,1,0,5,14,7,1,no,12,3,9,0,1,1,2,1,408
3rd (58),1:47,12,0,8,5,7,0,0,26,3,0,0,9,19,8,no,10,1,0,2,4,3,4,1,
4th (49),4:30,1,-4,3,20,25,0,4,0,4,0,2,10,2,4,no,8,6,0,0,2,4,2,0,
5th (46),4:17,8,-3,2,3,3,13,3,17,3,1,2,9,7,8,no,14,1,3,3,3,2,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (73),3:19,18,0,2,7,25,0,0,21,2,1,1,14,3,6,no,11,5,0,2,3,2,3,0,#50450423
2nd (58),3:02,16,0,6,20,6,0,0,10,4,2,0,8,13,7,no,8,1,0,1,4,2,4,0,406
3rd (56),3:30,0,-6,6,3,9,31,7,6,3,0,4,2,7,0,no,14,2,7,1,0,2,4,2,
4th (52),3:58,0,-5,8,5,26,0,9,9,3,1,1,8,7,1,no,10,5,0,0,1,3,2,3,
5th (52),4:03,9,-2,5,7,4,10,4,15,3,1,1,6,8,3,no,13,1,3,2,2,4,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (52),3:03,9,-2,0,20,8,0,4,13,4,0,1,10,6,5,no,8,2,0,2,3,2,4,1,#50646473
2nd (50),5:26,8,-2,6,10,25,0,3,0,3,2,1,9,10,5,yes,3,4,0,0,2,4,3,0,403
3rd (50),4:21,7,-2,5,10,15,1,0,14,3,1,0,14,14,5,no,12,3,1,2,3,2,2,1,
4th (48),4:10,0,-5,3,7,17,13,3,10,3,1,1,8,7,0,no,13,5,4,1,0,1,2,1,
5th (40),4:26,14,-1,9,3,12,0,3,0,2,3,0,8,12,10,no,9,2,0,0,5,3,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (57),2:58,4,-3,0,3,8,43,2,0,2,1,5,9,4,1,no,14,1,9,0,1,3,3,0,#61977247
2nd (51),3:19,17,0,8,5,11,0,3,7,3,0,2,10,15,11,no,10,2,0,0,5,4,3,1,401
3rd (48),3:43,10,-3,7,10,15,2,0,7,3,0,1,6,15,6,no,12,3,2,1,2,2,3,2,
4th (47),4:20,8,-2,5,7,11,0,3,15,3,3,1,8,10,6,no,13,3,0,2,3,1,3,0,
5th (43),3:28,3,-4,1,3,25,0,3,12,1,2,3,15,4,4,no,9,6,0,2,2,3,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (72),3:23,18,0,5,10,14,5,3,17,3,0,2,22,16,6,no,12,2,3,2,3,2,2,1,#61976970
2nd (65),4:16,18,0,6,3,19,0,4,15,2,1,1,6,16,9,no,14,4,0,2,5,2,4,0,401
3rd (53),3:26,0,-6,5,3,0,43,8,0,2,1,5,18,10,0,no,9,0,9,0,0,4,2,2,
4th (51),3:58,9,-3,2,5,25,0,0,13,3,1,1,7,6,6,no,10,5,0,1,3,2,3,0,
5th (49),2:35,0,-6,6,20,14,0,8,7,4,0,0,12,17,2,no,8,3,0,1,1,4,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),4:09,12,-1,2,20,16,0,4,7,4,0,2,17,8,6,no,8,3,0,1,3,4,2,1,#62136233
2nd (56),2:49,9,-2,7,7,26,0,2,7,3,0,1,2,19,6,no,13,5,0,1,3,2,3,1,400
3rd (50),2:38,0,-6,4,3,4,38,7,0,3,2,6,9,2,0,no,9,1,7,0,0,4,2,2,
4th (47),2:59,5,-2,12,7,14,0,5,6,2,0,0,11,23,8,no,11,3,0,1,2,4,5,1,
5th (42),4:07,11,0,3,10,13,0,0,5,3,3,0,22,9,8,no,12,3,0,1,4,0,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (61),3:41,16,-1,5,10,11,1,4,15,3,0,1,4,16,7,yes,4,2,1,2,2,2,4,2,#62668882
2nd (58),3:18,18,0,0,5,20,4,2,9,2,0,3,17,5,7,no,10,3,2,1,4,2,2,2,399
3rd (52),3:43,9,-3,12,15,0,0,10,9,3,1,1,10,17,6,yes,1,0,0,1,3,7,2,1,
4th (47),3:28,0,-5,2,10,26,5,3,6,3,0,3,18,8,0,no,12,6,3,1,0,1,3,1,
5th (40),4:17,1,-5,1,3,14,26,0,0,2,0,3,5,8,4,no,14,4,5,1,2,2,4,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (68),6:51,18,0,8,10,27,1,4,0,3,0,1,16,24,6,no,12,5,1,0,3,1,3,2,#61707233
2nd (63),3:56,18,0,7,7,8,0,7,16,2,1,1,14,6,7,no,11,2,0,2,3,5,1,2,399
3rd (63),5:46,0,-6,1,3,8,55,2,0,2,2,6,17,0,0,no,14,1,9,1,0,3,1,1,
4th (45),5:09,9,-3,6,0,14,0,4,15,2,2,1,2,10,6,no,13,3,0,2,3,2,4,0,
5th (40),3:59,0,-6,7,3,9,9,3,15,3,1,2,17,26,5,no,9,3,2,2,2,3,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (68),3:26,18,0,2,10,12,0,0,26,3,0,0,16,10,8,no,12,3,0,3,5,1,3,0,#61071758
2nd (57),3:13,18,0,3,7,21,0,2,6,2,1,0,11,4,8,no,11,4,0,1,3,2,4,1,399
3rd (56),3:04,8,-3,11,3,8,13,9,7,3,1,1,6,20,5,no,9,1,3,1,2,3,3,3,
4th (54),3:54,0,-5,1,3,13,38,4,0,2,0,3,8,4,0,no,14,2,8,0,0,3,4,1,
5th (41),2:57,0,-6,6,5,18,0,3,15,3,0,1,8,11,6,no,10,4,0,1,3,3,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (63),2:57,18,0,2,7,23,0,0,13,2,0,1,8,6,8,no,11,5,0,2,3,1,4,1,#61667163
2nd (62),3:10,17,0,0,20,2,0,4,19,4,0,2,8,5,8,no,8,1,0,2,4,3,4,0,398
3rd (50),2:50,8,-4,2,2,6,36,0,0,1,0,3,12,8,5,no,14,1,8,0,2,2,4,1,
4th (47),4:01,0,-6,7,10,29,0,0,7,3,0,2,3,12,2,no,12,6,0,1,1,1,4,2,
5th (42),3:21,1,-4,2,7,15,21,0,0,3,1,6,8,8,4,no,13,3,6,0,2,1,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (62),3:01,12,-1,6,5,21,0,7,12,3,0,0,16,17,5,no,10,4,0,1,3,4,2,1,#62516756
2nd (60),3:45,18,0,2,7,14,0,0,19,3,3,1,4,1,5,no,13,3,0,2,3,1,3,0,397
3rd (58),2:36,14,-1,3,20,7,0,4,11,4,0,0,24,7,6,no,8,1,0,2,3,4,3,1,
