Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
3,60,2:19,14,0,11,7,15,10,3,0,3,1,2,4,25,8,no,13,3,3,0,4,1,3,0
4,56,3:23,0,-6,0,3,24,31,4,0,3,2,5,16,5,0,no,14,5,7,0,0,1,1,2
5,52,2:47,8,-3,4,20,10,0,4,9,4,0,3,8,16,5,no,8,2,0,1,2,4,4,1
6,45,3:34,0,-5,1,3,6,31,3,6,3,0,1,26,2,0,no,9,2,5,2,0,7,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,65,2:50,18,0,7,5,5,0,5,25,3,0,1,4,6,7,no,10,1,0,2,4,5,3,0
2,58,3:14,5,-4,0,3,0,48,6,0,3,0,3,12,2,4,no,9,0,7,1,2,2,2,3
3,56,3:07,3,-4,10,10,23,4,0,10,3,0,2,4,22,3,no,12,4,2,1,2,1,3,2
4,55,2:47,0,-5,4,3,17,33,3,0,3,0,5,6,7,0,no,14,3,8,0,0,2,3,2
5,50,5:10,16,-1,3,10,10,4,8,0,3,0,4,15,8,12,yes,6,2,2,0,5,5,1,0
6,48,2:55,10,-2,1,7,18,0,0,14,2,0,0,18,14,11,no,11,4,0,2,4,1,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,70,2:50,0,-6,0,2,3,62,0,9,1,1,7,8,0,0,no,14,1,11,1,0,1,2,1
2,62,3:23,13,-1,3,7,21,0,3,16,3,1,0,10,8,5,no,13,4,0,2,3,1,3,1
3,61,3:15,18,0,4,3,32,0,4,0,1,0,2,4,11,7,no,11,5,0,0,3,3,4,2
4,61,3:30,8,-4,4,5,16,0,6,26,3,0,1,8,14,7,no,10,3,0,2,3,1,3,3
5,50,3:27,11,-1,6,20,0,0,4,10,4,0,1,11,2,12,no,8,0,0,1,5,5,3,0
6,39,2:46,0,-4,10,10,3,16,4,0,3,0,4,5,11,6,no,12,1,3,1,3,4,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,2:31,10,-1,6,10,14,0,3,26,3,0,1,8,6,4,no,12,3,0,3,2,2,3,2
2,57,5:23,1,-5,6,3,12,38,2,0,2,1,4,12,10,1,no,14,3,8,0,1,2,2,1
3,54,3:46,11,-2,4,20,7,0,8,6,4,1,0,11,12,4,no,8,1,0,1,2,4,4,1
4,53,3:35,18,0,5,7,20,0,3,0,2,0,1,12,10,12,no,11,3,0,0,5,3,5,0
5,48,3:30,9,-3,2,5,23,0,0,12,2,0,1,9,10,6,no,10,4,0,2,3,3,2,2
6,36,3:31,0,-6,4,7,4,25,2,0,3,0,3,3,7,3,no,13,1,4,1,1,4,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,64,2:30,16,0,11,10,7,0,10,10,3,0,2,8,18,9,yes,5,1,0,1,4,4,2,3
2,60,4:32,0,-5,3,3,4,55,0,0,3,1,4,8,6,0,no,14,1,9,1,0,1,3,2
3,50,3:03,8,-2,7,7,14,0,9,7,2,0,3,5,6,7,no,11,4,0,1,2,6,3,0
4,48,3:42,9,-1,4,10,19,0,7,0,3,1,1,10,6,6,yes,3,4,0,0,3,2,4,1
5,47,2:31,11,0,4,3,20,0,4,5,1,1,3,6,9,9,yes,2,5,0,1,4,3,1,2
6,37,4:18,0,-4,5,15,13,1,3,4,3,2,0,16,8,5,yes,1,2,1,1,2,4,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,3:17,18,0,4,7,16,0,0,23,2,0,3,9,12,8,no,11,3,0,3,3,2,3,2
2,59,3:03,8,-1,3,10,20,0,3,16,3,0,1,8,6,5,yes,3,4,0,2,2,2,3,2
3,53,4:22,6,-3,3,3,6,26,6,6,2,0,3,13,4,4,yes,7,1,6,1,2,6,1,0
4,52,2:49,0,-4,3,20,23,0,0,10,4,1,1,8,14,2,no,8,5,0,1,1,2,4,0
5,50,4:18,5,0,5,3,0,25,12,0,3,1,3,10,6,5,no,9,0,5,0,2,3,3,3
6,46,3:21,3,-4,7,2,18,13,7,0,1,0,4,6,12,3,no,12,3,4,0,2,4,3,1
