Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods,Match ID/Avg lvl
3,39,4:44,0,-5,1,0,19,4,0,20,1,1,4,5,4,3,no,13,5,2,3,1,2,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,2:47,0,-4,4,3,0,48,0,7,3,2,3,24,21,1,no,14,0,9,1,1,1,2,2,#56627445
2,58,2:24,8,0,4,5,18,0,3,20,3,0,1,12,14,8,no,10,3,0,2,4,3,3,0,466
3,52,3:59,8,0,3,7,22,0,0,12,2,1,1,18,19,8,no,11,4,0,2,3,1,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,4:32,15,-1,4,7,24,0,3,11,3,1,1,16,14,6,no,13,5,0,2,4,1,2,0,#60758755
2,50,4:56,6,-3,3,10,18,10,0,6,3,0,0,7,15,4,yes,2,3,2,1,2,2,3,2,465
3,47,5:55,5,-4,2,0,9,25,4,6,0,1,4,14,8,5,no,14,2,6,1,2,4,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,5:08,11,-3,8,20,9,0,8,0,4,1,1,12,14,7,no,8,2,0,0,3,3,4,1,#59500258
2,48,3:45,1,-3,4,10,23,13,0,0,3,0,2,14,11,3,no,12,4,4,0,2,3,2,0,464
3,44,4:34,11,-1,4,7,7,0,0,16,2,2,0,15,16,9,no,11,2,0,3,3,1,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,3:08,5,-2,4,2,11,36,3,0,1,1,4,10,16,4,no,14,2,8,0,2,1,3,1,#59611235
2,52,5:12,10,-1,3,0,22,0,4,14,1,0,4,9,6,7,no,13,6,0,2,3,4,1,1,463
3,51,6:23,6,-2,3,10,19,4,3,8,3,1,2,13,10,3,yes,3,3,2,1,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,65,2:40,0,-6,4,3,6,55,3,0,3,1,6,12,17,0,no,9,1,9,0,0,3,3,1,#60459884
2,65,1:52,14,-2,1,3,27,0,0,22,2,0,0,14,11,6,no,14,5,0,3,3,3,3,1,462
3,46,3:59,13,-1,2,13,18,1,0,0,3,3,2,8,6,4,no,8,4,1,0,3,1,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,4:30,12,-2,3,5,15,0,3,23,3,0,1,4,6,5,no,10,3,0,2,3,2,4,1,#51316398
2,55,5:32,15,-1,5,7,15,0,7,7,2,0,3,18,10,10,no,11,3,0,1,4,5,2,1,462
3,50,3:58,0,-6,2,15,21,10,0,8,3,0,1,10,16,0,yes,1,4,3,1,0,1,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,
